x1,y1,x2,y2
971,670,26,658
26,658,241,73
241,73,11,600
11,600,510,1000
510,1000,921,230
921,230,702,958
702,958,308,39
308,39,184,888
184,888,422,7
422,7,15,619
15,619,907,792
907,792,747,65
747,65,463,999
463,999,1000,516
1000,516,187,111
187,111,840,134
840,134,914,782
914,782,774,82
774,82,472,1000
472,1000,19,367
19,367,282,950
282,950,807,896
807,896,693,39
693,39,40,305
40,305,787,91
787,91,967,682
967,682,32,676
32,676,880,826
880,826,227,919
227,919,379,15
379,15,12,607
12,607,998,551
998,551,504,1000
504,1000,17,628
17,628,996,569
996,569,607,12
607,12,982,634
982,634,25,346
25,346,982,364
982,364,123,172
123,172,838,132
838,132,199,102
199,102,971,331
971,331,725,947
725,947,987,385
987,385,5,432
5,432,463,2
463,2,189,892
189,892,705,957
705,957,167,873
167,873,52,279
52,279,973,337
973,337,134,161
134,161,117,822
117,822,78,233
78,233,905,207
905,207,165,130
165,130,217,912
217,912,836,871
836,871,279,949
279,949,7,419
7,419,385,987
385,987,711,47
711,47,367,982
367,982,6,425
6,425,265,942
265,942,932,752
932,752,4,560
4,560,959,302
959,302,682,967
682,967,999,466
999,466,1,510
1,510,340,27
340,27,42,699
42,699,843,865
843,865,22,646
22,646,975,658
975,658,544,999
544,999,982,637
982,637,708,45
708,45,364,982
364,982,998,453
998,453,733,943
733,943,977,349
977,349,9,591
9,591,349,24
349,24,970,328
970,328,55,274
55,274,685,36
685,36,435,996
435,996,993,585
993,585,2,538
2,538,482,1
482,1,1,529
1,529,352,978
352,978,899,802
899,802,331,971
331,971,83,225
83,225,172,878
172,878,682,967
682,967,20,640
20,640,978,649
978,649,600,11
600,11,576,995
576,995,971,670
971,670,2,544
2,544,934,750
934,750,871,165
871,165,177,119
177,119,847,140
847,140,98,204
98,204,897,197
897,197,170,125
170,125,878,172
878,172,939,741
939,741,170,876
170,876,739,940
739,940,989,394
989,394,14,385
14,385,947,276
947,276,7,582
7,582,331,30
331,30,1,501
1,501,314,37
314,37,444,997
444,997,1000,497
1000,497,613,13
613,13,997,557
997,557,1,482
1,482,856,149
856,149,34,319
34,319,161,867
161,867,49,285
49,285,921,230
921,230,882,824
882,824,658,26
658,26,42,302
42,302,585,8
585,8,937,744
937,744,115,819
115,819,809,894
809,894,102,802
102,802,625,985
625,985,83,776
83,776,949,722
949,722,64,744
