p1,p2,R,G,B
115,69,255,130,0
69,19,255,130,0
19,97,255,130,0
97,58,255,130,0
58,146,255,130,0
146,53,255,130,0
53,85,255,130,0
85,41,255,130,0
41,114,255,130,0
114,25,255,130,0
25,131,255,130,0
131,106,255,130,0
106,45,255,130,0
45,100,255,130,0
100,131,255,130,0
131,84,255,130,0
84,54,255,130,0
54,112,255,130,0
112,66,255,130,0
66,17,255,130,0
17,122,255,130,0
122,149,255,130,0
149,87,255,130,0
87,138,255,130,0
138,82,255,130,0
82,0,255,130,0
0,123,255,130,0
123,2,255,130,0
2,125,255,130,0
125,75,255,130,0
75,14,255,130,0
14,66,255,130,0
66,3,255,130,0
3,60,255,130,0
60,127,255,130,0
127,83,255,130,0
83,9,255,130,0
9,63,255,130,0
63,100,255,130,0
100,132,255,130,0
132,107,255,130,0
107,23,255,130,0
23,96,255,130,0
96,144,255,130,0
144,68,255,130,0
68,21,255,130,0
21,124,255,130,0
124,5,255,130,0
5,72,255,130,0
72,118,255,130,0
118,49,255,130,0
49,101,255,130,0
101,64,255,130,0
64,139,255,130,0
139,87,255,130,0
87,51,255,130,0
51,146,255,130,0
146,71,255,130,0
71,12,255,130,0
12,73,255,130,0
73,117,255,130,0
117,58,255,130,0
58,119,255,130,0
119,29,255,130,0
29,93,255,130,0
93,25,255,130,0
25,112,255,130,0
112,72,255,130,0
72,23,255,130,0
23,91,255,130,0
91,53,255,130,0
53,85,255,130,0
85,52,255,130,0
52,133,255,130,0
133,40,255,130,0
40,129,255,130,0
129,38,255,130,0
38,131,255,130,0
131,84,255,130,0
84,137,255,130,0
137,48,255,130,0
48,101,255,130,0
101,34,255,130,0
34,106,255,130,0
106,18,255,130,0
18,123,255,130,0
123,1,255,130,0
1,57,255,130,0
57,105,255,130,0
105,35,255,130,0
35,129,255,130,0
129,67,255,130,0
67,135,255,130,0
135,80,255,130,0
80,20,255,130,0
20,94,255,130,0
94,18,255,130,0
18,78,255,130,0
78,130,255,130,0
130,86,255,130,0
86,52,255,130,0
52,85,255,130,0
85,133,255,130,0
133,47,255,130,0
47,105,255,130,0
105,30,255,130,0
30,103,255,130,0
103,41,255,130,0
41,99,255,130,0
99,39,255,130,0
39,111,255,130,0
111,69,255,130,0
69,4,255,130,0
4,124,255,130,0
124,6,255,130,0
6,80,255,130,0
80,22,255,130,0
22,106,255,130,0
106,50,255,130,0
50,134,255,130,0
134,58,255,130,0
58,119,255,130,0
119,51,255,130,0
51,143,255,130,0
143,70,255,130,0
70,147,255,130,0
147,71,255,130,0
71,131,255,130,0
131,43,255,130,0
12,81,220,0,0
81,32,220,0,0
32,111,220,0,0
111,54,220,0,0
54,107,220,0,0
107,59,220,0,0
59,138,220,0,0
138,74,220,0,0
74,3,220,0,0
3,81,220,0,0
81,11,220,0,0
11,88,220,0,0
88,37,220,0,0
37,86,220,0,0
86,40,220,0,0
40,101,220,0,0
101,22,220,0,0
22,104,220,0,0
104,48,220,0,0
48,134,220,0,0
134,71,220,0,0
71,15,220,0,0
15,97,220,0,0
97,34,220,0,0
34,84,220,0,0
84,0,220,0,0
0,64,220,0,0
64,109,220,0,0
109,57,220,0,0
57,135,220,0,0
135,60,220,0,0
60,118,220,0,0
118,65,220,0,0
65,141,220,0,0
141,70,220,0,0
70,4,220,0,0
4,68,220,0,0
68,129,220,0,0
129,42,220,0,0
42,100,220,0,0
100,23,220,0,0
23,85,220,0,0
85,30,220,0,0
30,108,220,0,0
108,46,220,0,0
46,131,220,0,0
131,49,220,0,0
49,113,220,0,0
113,58,220,0,0
58,107,220,0,0
107,50,220,0,0
50,110,220,0,0
110,42,220,0,0
42,111,220,0,0
111,47,220,0,0
47,107,220,0,0
107,43,220,0,0
43,109,220,0,0
114,46,0,0,0
46,129,0,0,0
129,110,0,0,0
110,94,0,0,0
94,59,0,0,0
59,86,0,0,0
86,35,0,0,0
35,93,0,0,0
93,72,0,0,0
72,15,0,0,0
15,132,0,0,0
132,13,0,0,0
13,134,0,0,0
134,40,0,0,0
40,109,0,0,0
109,139,0,0,0
139,147,0,0,0
147,140,0,0,0
140,125,0,0,0
125,18,0,0,0
18,70,0,0,0
70,41,0,0,0
41,125,0,0,0
125,135,0,0,0
135,45,0,0,0
45,94,0,0,0
94,110,0,0,0
110,92,0,0,0
92,117,0,0,0
117,20,0,0,0
20,107,0,0,0
107,87,0,0,0
87,17,0,0,0
17,134,0,0,0
134,95,0,0,0
95,78,0,0,0
78,36,0,0,0
36,103,0,0,0
103,21,0,0,0
21,77,0,0,0
77,113,0,0,0
113,42,0,0,0
42,89,0,0,0
89,46,0,0,0
46,147,0,0,0
147,112,0,0,0
112,144,0,0,0
144,57,0,0,0
57,146,0,0,0
146,55,0,0,0
55,83,0,0,0
83,4,0,0,0
4,109,0,0,0
109,70,0,0,0
70,41,0,0,0
41,120,0,0,0
120,39,0,0,0
39,143,0,0,0
143,76,0,0,0
76,95,0,0,0
95,61,0,0,0
61,105,0,0,0
105,136,0,0,0
136,82,0,0,0
82,129,0,0,0
129,102,0,0,0
102,8,0,0,0
8,132,0,0,0
132,63,0,0,0
63,127,0,0,0
127,36,0,0,0
36,11,0,0,0
11,131,0,0,0
131,10,0,0,0
10,96,0,0,0
96,48,0,0,0
48,90,0,0,0
90,57,0,0,0
57,84,0,0,0
84,141,0,0,0
141,105,0,0,0
105,25,0,0,0
25,102,0,0,0
102,126,0,0,0
126,88,0,0,0
88,133,0,0,0
133,12,0,0,0
12,69,0,0,0
69,16,0,0,0
16,99,0,0,0
99,55,0,0,0
55,83,0,0,0
83,53,0,0,0
53,148,0,0,0
148,51,0,0,0
51,97,0,0,0
97,121,0,0,0
121,46,0,0,0
46,127,0,0,0
127,71,0,0,0
71,114,0,0,0
114,3,0,0,0
3,113,0,0,0
113,69,0,0,0
69,19,0,0,0
19,135,0,0,0
135,92,0,0,0
92,110,0,0,0
110,85,0,0,0
85,107,0,0,0
107,72,0,0,0
72,93,0,0,0
93,68,0,0,0
68,9,0,0,0
9,131,0,0,0
131,93,0,0,0
93,41,0,0,0
