p1,p2,R,G,B
40,66,0,166,86
85,40,0,166,86
216,85,0,166,86
161,216,0,166,86
98,161,0,166,86
133,98,0,166,86
112,133,0,166,86
139,112,0,166,86
182,139,0,166,86
21,182,0,166,86
227,21,0,166,86
9,227,0,166,86
57,9,0,166,86
138,57,0,166,86
170,138,0,166,86
199,170,0,166,86
183,199,0,166,86
13,183,0,166,86
244,13,0,166,86
191,244,0,166,86
210,191,0,166,86
173,210,0,166,86
149,173,0,166,86
125,149,0,166,86
100,125,0,166,86
129,100,0,166,86
116,129,0,166,86
67,116,0,166,86
180,67,0,166,86
150,180,0,166,86
102,150,0,166,86
14,102,0,166,86
130,14,0,166,86
114,130,0,166,86
141,114,0,166,86
228,141,0,166,86
5,228,0,166,86
47,5,0,166,86
24,47,0,166,86
87,24,0,166,86
195,87,0,166,86
156,195,0,166,86
10,156,0,166,86
185,10,0,166,86
6,185,0,166,86
94,6,0,166,86
30,94,0,166,86
242,30,0,166,86
210,242,0,166,86
62,210,0,166,86
83,62,0,166,86
35,83,0,166,86
70,35,0,166,86
95,70,0,166,86
29,95,0,166,86
203,29,0,166,86
233,203,0,166,86
1,233,0,166,86
226,1,0,166,86
23,226,0,166,86
106,23,0,166,86
71,106,0,166,86
52,71,0,166,86
122,52,0,166,86
104,122,0,166,86
159,104,0,166,86
212,159,0,166,86
167,212,0,166,86
142,167,0,166,86
198,142,0,166,86
239,198,0,166,86
21,239,0,166,86
215,21,0,166,86
116,215,0,166,86
138,116,0,166,86
94,138,0,166,86
168,94,0,166,86
141,168,0,166,86
33,141,0,166,86
214,33,0,166,86
107,214,0,166,86
76,107,0,166,86
54,76,0,166,86
170,54,0,166,86
42,170,0,166,86
16,42,0,166,86
220,16,0,166,86
4,220,0,166,86
173,4,0,166,86
194,173,0,166,86
161,194,0,166,86
187,161,0,166,86
205,187,0,166,86
231,205,0,166,86
34,231,0,166,86
90,34,0,166,86
153,90,0,166,86
12,153,0,166,86
241,12,0,166,86
17,241,0,166,86
237,17,0,166,86
207,237,0,166,86
120,207,0,166,86
102,120,0,166,86
200,102,0,166,86
182,200,0,166,86
135,182,0,166,86
110,135,0,166,86
