p1,p2,R,G,B
2,17,253,253,253
17,29,253,253,253
29,67,253,253,253
67,82,253,253,253
82,99,253,253,253
99,80,253,253,253
80,104,253,253,253
104,95,253,253,253
95,53,253,253,253
53,66,253,253,253
66,128,253,253,253
128,143,253,253,253
143,115,253,253,253
115,75,253,253,253
75,146,253,253,253
146,34,253,253,253
34,9,253,253,253
9,21,253,253,253
21,106,253,253,253
106,75,253,253,253
75,111,253,253,253
111,40,253,253,253
40,61,253,253,253
61,80,253,253,253
80,92,253,253,253
92,78,253,253,253
78,104,253,253,253
104,114,253,253,253
114,146,253,253,253
146,126,253,253,253
126,90,253,253,253
90,102,253,253,253
102,119,253,253,253
119,1,253,253,253
1,43,253,253,253
43,59,253,253,253
59,6,253,253,253
6,115,253,253,253
115,103,253,253,253
103,133,253,253,253
133,145,253,253,253
145,8,253,253,253
8,41,253,253,253
41,60,253,253,253
60,25,253,253,253
25,86,253,253,253
86,70,253,253,253
70,57,253,253,253
57,46,253,253,253
46,22,253,253,253
22,137,253,253,253
137,72,253,253,253
72,44,253,253,253
44,56,253,253,253
56,73,253,253,253
73,38,253,253,253
38,26,253,253,253
26,117,253,253,253
117,130,253,253,253
130,146,253,253,253
146,78,253,253,253
78,109,253,253,253
109,90,253,253,253
90,147,253,253,253
147,22,253,253,253
22,32,253,253,253
32,43,253,253,253
43,2,253,253,253
2,70,253,253,253
70,110,253,253,253
110,122,253,253,253
122,74,253,253,253
74,149,253,253,253
149,54,253,253,253
54,142,253,253,253
142,6,253,253,253
6,23,253,253,253
23,63,253,253,253
63,131,253,253,253
131,148,253,253,253
148,123,253,253,253
123,135,253,253,253
135,61,253,253,253
61,140,253,253,253
140,126,253,253,253
126,113,253,253,253
113,101,253,253,253
101,76,253,253,253
76,36,253,253,253
36,60,253,253,253
60,75,253,253,253
75,109,253,253,253
109,4,253,253,253
4,128,253,253,253
128,97,253,253,253
97,86,253,253,253
86,98,253,253,253
98,25,253,253,253
25,45,253,253,253
45,58,253,253,253
58,93,253,253,253
93,120,253,253,253
120,81,253,253,253
81,103,253,253,253
103,116,253,253,253
116,38,253,253,253
38,8,253,253,253
8,22,253,253,253
22,36,253,253,253
36,49,253,253,253
49,60,253,253,253
60,42,253,253,253
42,5,253,253,253
5,28,253,253,253
28,11,253,253,253
11,122,253,253,253
122,0,253,253,253
0,24,253,253,253
24,61,253,253,253
61,83,253,253,253
83,66,253,253,253
66,30,253,253,253
30,74,253,253,253
74,116,253,253,253
116,137,253,253,253
137,3,253,253,253
3,18,253,253,253
18,100,253,253,253
100,119,253,253,253
119,107,253,253,253
107,95,253,253,253
95,76,253,253,253
76,59,253,253,253
59,141,253,253,253
141,33,253,253,253
33,97,253,253,253
97,139,253,253,253
139,41,253,253,253
41,26,253,253,253
26,14,253,253,253
14,104,253,253,253
104,93,253,253,253
93,79,253,253,253
79,62,253,253,253
62,39,253,253,253
39,51,253,253,253
51,13,253,253,253
13,27,253,253,253
27,146,253,253,253
146,132,253,253,253
132,66,253,253,253
66,110,253,253,253
110,99,253,253,253
99,122,253,253,253
122,78,253,253,253
78,94,253,253,253
94,36,253,253,253
36,121,253,253,253
121,133,253,253,253
133,148,253,253,253
148,75,253,253,253
75,47,253,253,253
47,21,253,253,253
21,33,253,253,253
33,53,253,253,253
53,36,253,253,253
36,9,253,253,253
9,144,253,253,253
144,127,253,253,253
127,16,253,253,253
16,87,253,253,253
87,113,253,253,253
113,0,253,253,253
0,34,253,253,253
34,65,253,253,253
65,98,253,253,253
98,85,253,253,253
85,136,253,253,253
136,14,253,253,253
14,35,253,253,253
35,123,253,253,253
123,109,253,253,253
109,126,253,253,253
126,5,253,253,253
5,107,253,253,253
107,125,253,253,253
125,76,253,253,253
76,104,253,253,253
104,58,253,253,253
58,43,253,253,253
43,67,253,253,253
67,18,253,253,253
18,84,253,253,253
84,101,253,253,253
101,134,253,253,253
134,120,253,253,253
120,143,253,253,253
143,10,253,253,253
10,32,253,253,253
32,18,253,253,253
18,1,253,253,253
1,111,253,253,253
111,90,253,253,253
90,71,253,253,253
71,57,253,253,253
57,31,253,253,253
31,44,253,253,253
44,106,253,253,253
106,12,253,253,253
12,119,253,253,253
119,87,253,253,253
87,69,253,253,253
69,51,253,253,253
51,66,253,253,253
66,46,253,253,253
46,149,253,253,253
149,128,253,253,253
128,78,253,253,253
78,5,253,253,253
5,72,253,253,253
72,50,253,253,253
50,84,253,253,253
84,105,253,253,253
105,118,253,253,253
118,136,253,253,253
136,98,253,253,253
98,83,253,253,253
83,17,253,253,253
17,36,253,253,253
36,73,253,253,253
73,42,253,253,253
42,28,253,253,253
28,12,253,253,253
12,129,253,253,253
129,75,253,253,253
75,20,253,253,253
20,0,253,253,253
0,45,253,253,253
45,64,253,253,253
64,22,253,253,253
22,88,253,253,253
88,102,253,253,253
102,82,253,253,253
82,4,253,253,253
4,130,253,253,253
130,116,253,253,253
116,148,253,253,253
148,108,253,253,253
108,94,253,253,253
94,113,253,253,253
113,49,253,253,253
49,63,253,253,253
63,38,253,253,253
38,52,253,253,253
52,149,253,253,253
149,132,253,253,253
132,114,253,253,253
114,11,253,253,253
11,94,253,253,253
94,77,253,253,253
77,99,253,253,253
99,85,253,253,253
85,66,253,253,253
66,15,253,253,253
15,34,253,253,253
34,20,253,253,253
20,65,253,253,253
65,149,253,253,253
149,114,253,253,253
114,138,253,253,253
138,8,253,253,253
8,29,253,253,253
29,70,253,253,253
70,140,253,253,253
140,11,253,253,253
11,125,253,253,253
125,110,253,253,253
110,42,253,253,253
42,7,253,253,253
7,106,253,253,253
106,80,253,253,253
80,121,253,253,253
121,142,253,253,253
142,92,253,253,253
92,67,253,253,253
67,14,253,253,253
14,47,253,253,253
47,60,253,253,253
60,30,253,253,253
30,16,253,253,253
16,45,253,253,253
45,71,253,253,253
71,104,253,253,253
104,119,253,253,253
119,135,253,253,253
135,60,253,253,253
60,89,253,253,253
89,129,253,253,253
129,147,253,253,253
147,17,253,253,253
17,39,253,253,253
39,25,253,253,253
25,43,253,253,253
43,4,253,253,253
4,79,253,253,253
79,46,253,253,253
46,143,253,253,253
143,110,253,253,253
110,96,253,253,253
96,78,253,253,253
78,54,253,253,253
54,40,253,253,253
40,80,253,253,253
80,112,253,253,253
112,75,253,253,253
75,55,253,253,253
55,39,253,253,253
39,7,253,253,253
7,141,253,253,253
141,116,253,253,253
116,102,253,253,253
102,86,253,253,253
86,140,253,253,253
140,56,253,253,253
56,72,253,253,253
72,125,253,253,253
