p1,p2,R,G,B
108,112,49,24,15
112,106,49,24,15
106,111,49,24,15
111,107,49,24,15
107,118,49,24,15
118,23,49,24,15
23,137,49,24,15
137,104,49,24,15
104,5,49,24,15
5,13,49,24,15
13,7,49,24,15
7,132,49,24,15
132,36,49,24,15
36,10,49,24,15
10,131,49,24,15
131,91,49,24,15
91,95,49,24,15
95,92,49,24,15
92,96,49,24,15
96,91,49,24,15
91,95,49,24,15
95,88,49,24,15
88,93,49,24,15
93,35,49,24,15
35,63,49,24,15
63,54,49,24,15
54,103,49,24,15
103,25,49,24,15
25,8,49,24,15
8,23,49,24,15
23,105,49,24,15
105,135,49,24,15
135,77,49,24,15
77,115,49,24,15
115,67,49,24,15
67,146,49,24,15
146,100,49,24,15
100,138,49,24,15
138,141,49,24,15
141,0,49,24,15
0,140,49,24,15
140,145,49,24,15
145,59,49,24,15
59,86,49,24,15
86,62,49,24,15
62,90,49,24,15
90,95,49,24,15
95,91,49,24,15
91,94,49,24,15
94,73,49,24,15
73,110,49,24,15
110,80,49,24,15
80,114,49,24,15
114,71,49,24,15
71,125,49,24,15
125,129,49,24,15
129,5,49,24,15
5,13,49,24,15
13,7,49,24,15
7,16,49,24,15
16,98,49,24,15
98,50,49,24,15
50,122,49,24,15
122,99,49,24,15
99,125,49,24,15
125,129,49,24,15
129,126,49,24,15
126,20,49,24,15
20,7,49,24,15
7,13,49,24,15
13,96,49,24,15
96,91,49,24,15
91,95,49,24,15
95,70,49,24,15
70,41,49,24,15
41,65,49,24,15
65,138,49,24,15
138,143,49,24,15
143,139,49,24,15
139,144,49,24,15
144,140,49,24,15
140,34,49,24,15
34,78,49,24,15
78,113,49,24,15
113,148,49,24,15
148,141,49,24,15
141,146,49,24,15
86,86,183,155,125
86,89,183,155,125
89,87,183,155,125
87,88,183,155,125
88,86,183,155,125
86,89,183,155,125
89,87,183,155,125
87,93,183,155,125
93,97,183,155,125
97,95,183,155,125
95,96,183,155,125
96,101,183,155,125
101,99,183,155,125
99,105,183,155,125
105,78,183,155,125
78,81,183,155,125
81,83,183,155,125
83,80,183,155,125
80,84,183,155,125
84,82,183,155,125
82,81,183,155,125
81,83,183,155,125
83,80,183,155,125
80,103,183,155,125
103,69,183,155,125
69,111,183,155,125
111,24,183,155,125
24,22,183,155,125
22,27,183,155,125
27,29,183,155,125
29,42,183,155,125
42,63,183,155,125
63,65,183,155,125
65,54,183,155,125
54,52,183,155,125
52,57,183,155,125
57,56,183,155,125
56,58,183,155,125
58,55,183,155,125
55,52,183,155,125
52,57,183,155,125
57,53,183,155,125
53,48,183,155,125
48,51,183,155,125
51,69,183,155,125
69,109,183,155,125
109,36,183,155,125
36,39,183,155,125
39,37,183,155,125
37,38,183,155,125
38,36,183,155,125
36,39,183,155,125
39,37,183,155,125
37,76,183,155,125
76,125,183,155,125
125,86,183,155,125
86,89,183,155,125
89,85,183,155,125
85,82,183,155,125
82,84,183,155,125
84,81,183,155,125
81,83,183,155,125
83,79,183,155,125
79,59,183,155,125
59,67,183,155,125
67,52,183,155,125
52,57,183,155,125
57,74,183,155,125
74,71,183,155,125
71,73,183,155,125
73,70,183,155,125
70,74,183,155,125
74,71,183,155,125
71,73,183,155,125
73,132,183,155,125
132,131,183,155,125
131,102,183,155,125
102,99,183,155,125
99,101,183,155,125
101,98,183,155,125
98,102,183,155,125
102,99,183,155,125
99,101,183,155,125
101,30,183,155,125
30,41,183,155,125
41,46,183,155,125
46,50,183,155,125
50,43,183,155,125
43,4,183,155,125
4,20,183,155,125
20,24,183,155,125
24,19,183,155,125
19,31,183,155,125
31,34,183,155,125
34,30,183,155,125
30,33,183,155,125
33,14,183,155,125
14,23,183,155,125
23,15,183,155,125
15,115,183,155,125
115,114,183,155,125
114,116,183,155,125
116,93,183,155,125
93,97,183,155,125
97,91,183,155,125
91,87,183,155,125
87,88,183,155,125
88,86,183,155,125
86,89,183,155,125
89,131,183,155,125
131,132,183,155,125
132,58,183,155,125
58,9,183,155,125
9,51,183,155,125
51,54,183,155,125
54,65,183,155,125
65,149,183,155,125
149,46,183,155,125
46,41,183,155,125
41,45,183,155,125
45,76,183,155,125
76,149,183,155,125
149,124,183,155,125
124,120,183,155,125
120,123,183,155,125
123,114,183,155,125
114,135,183,155,125
135,138,183,155,125
138,136,183,155,125
136,139,183,155,125
139,135,183,155,125
135,138,183,155,125
138,136,183,155,125
136,68,183,155,125
68,96,183,155,125
96,101,183,155,125
101,99,183,155,125
99,105,183,155,125
105,1,183,155,125
1,139,183,155,125
139,136,183,155,125
136,138,183,155,125
138,135,183,155,125
135,14,183,155,125
14,18,183,155,125
18,25,183,155,125
25,32,183,155,125
32,70,183,155,125
70,73,183,155,125
73,71,183,155,125
71,74,183,155,125
74,72,183,155,125
72,14,183,155,125
14,40,183,155,125
40,48,183,155,125
48,127,183,155,125
127,77,183,155,125
77,93,183,155,125
93,97,183,155,125
97,92,183,155,125
92,87,183,155,125
87,96,183,155,125
96,101,183,155,125
101,89,183,155,125
89,81,183,155,125
81,83,183,155,125
83,80,183,155,125
80,84,183,155,125
84,79,183,155,125
79,100,183,155,125
100,54,183,155,125
54,65,183,155,125
65,24,183,155,125
24,20,183,155,125
20,129,183,155,125
129,9,183,155,125
9,77,183,155,125
77,16,183,155,125
16,34,183,155,125
34,30,183,155,125
30,41,183,155,125
41,46,183,155,125
46,44,183,155,125
44,27,183,155,125
27,22,183,155,125
22,31,183,155,125
31,39,183,155,125
39,36,183,155,125
36,43,183,155,125
43,15,183,155,125
15,51,183,155,125
51,55,183,155,125
55,52,183,155,125
52,57,183,155,125
57,53,183,155,125
53,48,183,155,125
48,40,183,155,125
40,36,183,155,125
36,39,183,155,125
39,67,183,155,125
67,59,183,155,125
59,26,183,155,125
26,6,183,155,125
6,133,183,155,125
133,106,183,155,125
106,68,183,155,125
68,73,183,155,125
73,71,183,155,125
71,74,183,155,125
74,70,183,155,125
70,102,183,155,125
102,87,183,155,125
87,97,183,155,125
97,24,183,155,125
24,12,183,155,125
12,61,183,155,125
61,104,183,155,125
104,82,183,155,125
82,90,183,155,125
90,71,183,155,125
71,74,183,155,125
74,70,183,155,125
70,126,183,155,125
126,62,183,155,125
62,73,183,155,125
73,67,183,155,125
67,52,183,155,125
52,146,183,155,125
146,51,183,155,125
51,60,183,155,125
60,53,183,155,125
53,47,183,155,125
47,26,183,155,125
26,117,183,155,125
117,11,183,155,125
11,142,183,155,125
142,13,183,155,125
13,27,183,155,125
27,71,183,155,125
71,50,183,155,125
50,43,183,155,125
43,36,183,155,125
36,39,183,155,125
