p1,p2,R,G,B
113,58,0,0,0
58,85,0,0,0
85,109,0,0,0
109,39,0,0,0
39,92,0,0,0
92,108,0,0,0
108,86,0,0,0
86,31,0,0,0
31,11,0,0,0
11,40,0,0,0
40,124,0,0,0
124,138,0,0,0
138,145,0,0,0
145,101,0,0,0
101,15,0,0,0
15,124,0,0,0
124,130,0,0,0
130,80,0,0,0
80,115,0,0,0
115,65,0,0,0
65,18,0,0,0
18,134,0,0,0
134,124,0,0,0
124,38,0,0,0
38,141,0,0,0
141,149,0,0,0
149,52,0,0,0
52,74,0,0,0
74,48,0,0,0
109,148,255,255,255
148,36,255,255,255
36,55,255,255,255
55,121,255,255,255
121,20,255,255,255
20,116,255,255,255
116,132,255,255,255
132,80,255,255,255
80,67,255,255,255
67,78,255,255,255
78,98,255,255,255
98,125,255,255,255
125,89,255,255,255
89,101,255,255,255
101,56,255,255,255
56,16,255,255,255
16,39,255,255,255
39,61,255,255,255
61,81,255,255,255
81,72,255,255,255
72,106,255,255,255
106,6,255,255,255
6,137,255,255,255
137,4,255,255,255
4,28,255,255,255
28,1,255,255,255
1,52,255,255,255
52,119,255,255,255
119,11,255,255,255
11,136,255,255,255
136,34,255,255,255
34,70,255,255,255
70,48,255,255,255
48,138,255,255,255
138,5,255,255,255
5,27,255,255,255
27,49,255,255,255
49,29,255,255,255
29,59,255,255,255
59,82,255,255,255
82,46,255,255,255
46,140,255,255,255
140,38,255,255,255
38,117,255,255,255
117,7,255,255,255
7,136,255,255,255
136,2,255,255,255
2,133,255,255,255
133,114,255,255,255
114,35,255,255,255
35,95,255,255,255
95,30,255,255,255
30,53,255,255,255
53,23,255,255,255
23,63,255,255,255
63,84,255,255,255
84,134,255,255,255
134,113,255,255,255
113,11,255,255,255
11,85,255,255,255
85,100,255,255,255
100,67,255,255,255
67,80,255,255,255
80,64,255,255,255
64,44,255,255,255
44,15,255,255,255
15,75,255,255,255
75,98,255,255,255
98,128,255,255,255
128,18,255,255,255
18,64,255,255,255
64,82,255,255,255
82,66,255,255,255
66,38,255,255,255
38,71,255,255,255
71,104,255,255,255
104,67,255,255,255
67,80,255,255,255
80,33,255,255,255
33,56,255,255,255
56,29,255,255,255
29,148,255,255,255
148,62,255,255,255
62,83,255,255,255
83,126,255,255,255
126,74,255,255,255
74,99,255,255,255
99,78,255,255,255
78,125,255,255,255
125,92,255,255,255
92,15,255,255,255
15,130,255,255,255
130,30,255,255,255
30,146,255,255,255
146,51,255,255,255
51,96,255,255,255
96,129,255,255,255
129,16,255,255,255
16,60,255,255,255
60,81,255,255,255
81,61,255,255,255
61,13,255,255,255
13,57,255,255,255
57,3,255,255,255
3,138,255,255,255
138,93,255,255,255
93,124,255,255,255
124,87,255,255,255
87,122,255,255,255
122,8,255,255,255
8,135,255,255,255
135,35,255,255,255
35,0,255,255,255
0,91,255,255,255
91,137,255,255,255
137,2,255,255,255
2,29,255,255,255
29,52,255,255,255
52,100,255,255,255
100,73,255,255,255
73,119,255,255,255
119,144,255,255,255
144,90,255,255,255
90,124,255,255,255
124,95,255,255,255
95,145,255,255,255
145,118,255,255,255
118,48,255,255,255
48,4,255,255,255
4,28,255,255,255
28,49,255,255,255
49,69,255,255,255
69,45,255,255,255
45,14,255,255,255
14,118,255,255,255
118,5,255,255,255
5,33,255,255,255
33,0,255,255,255
0,31,255,255,255
31,95,255,255,255
95,143,255,255,255
143,35,255,255,255
35,146,255,255,255
146,115,255,255,255
115,1,255,255,255
1,32,255,255,255
32,117,255,255,255
117,139,255,255,255
139,115,255,255,255
115,39,255,255,255
39,137,255,255,255
137,6,255,255,255
6,38,255,255,255
38,76,255,255,255
76,43,255,255,255
43,67,255,255,255
67,105,255,255,255
105,148,255,255,255
148,24,255,255,255
24,69,255,255,255
69,47,255,255,255
47,68,255,255,255
68,98,255,255,255
98,76,255,255,255
76,107,255,255,255
107,9,255,255,255
9,136,255,255,255
136,4,255,255,255
4,51,255,255,255
51,25,255,255,255
25,132,255,255,255
132,74,255,255,255
74,37,255,255,255
37,118,255,255,255
118,12,255,255,255
12,112,255,255,255
112,8,255,255,255
8,58,255,255,255
58,23,255,255,255
23,110,255,255,255
110,22,255,255,255
22,64,255,255,255
64,44,255,255,255
44,75,255,255,255
75,98,255,255,255
98,74,255,255,255
74,7,255,255,255
7,136,255,255,255
136,1,255,255,255
1,110,255,255,255
110,3,255,255,255
3,29,255,255,255
29,54,255,255,255
54,101,255,255,255
101,71,255,255,255
71,103,255,255,255
103,65,255,255,255
65,104,255,255,255
104,73,255,255,255
73,38,255,255,255
38,115,255,255,255
115,142,255,255,255
142,18,255,255,255
18,46,255,255,255
46,70,255,255,255
70,97,255,255,255
97,128,255,255,255
128,17,255,255,255
17,59,255,255,255
59,82,255,255,255
82,64,255,255,255
64,80,255,255,255
80,41,255,255,255
41,116,255,255,255
116,5,255,255,255
5,120,255,255,255
120,26,255,255,255
26,57,255,255,255
57,10,255,255,255
10,54,255,255,255
54,27,255,255,255
27,132,255,255,255
132,79,255,255,255
79,42,255,255,255
42,77,255,255,255
77,126,255,255,255
126,95,255,255,255
95,36,255,255,255
36,149,255,255,255
149,120,255,255,255
120,53,255,255,255
53,29,255,255,255
29,137,255,255,255
137,4,255,255,255
4,134,255,255,255
